,Tweets,Case_Folding,Clean_Data,Tweet_Normal,Tanpa_StopWords,Stemming,Sentimen,Label
3257,@poerna_anggara Ketemu nang grabfood gofood shopeefood aowkwkw,@poerna_anggara ketemu nang grabfood gofood shopeefood aowkwkw,anggara ketemu nang grabfood gofood shopeefood aowkwkw,anggara ketemu nang grabfood gofood shopeefood aowkwkw,anggara ketemu nang grabfood gofood shopeefood aowkwkw,"['anggara', 'ketemu', 'nang', 'grabfood', 'gofood', 'shopeefood', 'aowkwkw']",0,negatif
3258,kok gw baru tau kl ada shopeefood😭,kok gw baru tau kl ada shopeefood😭,kok gw baru tau kl ada shopeefood,kok saya baru tahu kalau ada shopeefood,shopeefood,['shopeefood'],2,netral
3259,"BEAR BOBBA LOWOKWARU

Boba Brown Sugar 13K #BigCup22oz
50% Disc #ShopeeFood #GrabFood #GoFood

https://t.co/6fplAdGVlD

#InfoKulinerMalang
#LaporLaper
#KulinerHitsMalang
#MalangCulinary
#MalangKuliner
#BobaMalang
#KopiMalang 
#EsTehMalang
#MojitoMalang
#Grab
#GoJek
#Shopee
#BTS https://t.co/e28jAMJh6J","bear bobba lowokwaru

boba brown sugar 13k #bigcup22oz
50% disc #shopeefood #grabfood #gofood

https://t.co/6fpladgvld

#infokulinermalang
#laporlaper
#kulinerhitsmalang
#malangculinary
#malangkuliner
#bobamalang
#kopimalang 
#estehmalang
#mojitomalang
#grab
#gojek
#shopee
#bts https://t.co/e28jamjh6j",bear bobba lowokwaru boba brown sugar k disc,bear bobba lowokwaru boba brown sugar ke disc,bear bobba lowokwaru boba brown sugar disc,"['bear', 'bobba', 'lowokwaru', 'boba', 'brown', 'sugar', 'disc']",2,netral
3260,@Prisaaless @convomf kalo mau antri kalah sama gofood grabfood trs sekarang shopeefood 😒😒,@prisaaless @convomf kalo mau antri kalah sama gofood grabfood trs sekarang shopeefood 😒😒,kalo mau antri kalah sama gofood grabfood trs sekarang shopeefood,kalau mau antri kalah sama gofood grabfood terus sekarang shopeefood,antri kalah gofood grabfood shopeefood,"['antri', 'kalah', 'gofood', 'grabfood', 'shopeefood']",0,negatif
3261,"@jetsetbabe @FOODFESS2 Waktu itu make promo gofood yg 35% pake gopay, sebenerny ada jg yg 30% make tunai/gopay. Di shopeefood jg ada promo https://t.co/JIzfGJG4BV","@jetsetbabe @foodfess2 waktu itu make promo gofood yg 35% pake gopay, sebenerny ada jg yg 30% make tunai/gopay. di shopeefood jg ada promo https://t.co/jizfgjg4bv",waktu itu make promo gofood yg pake gopay sebenerny ada jg yg make tunaigopay di shopeefood jg ada promo,waktu itu makai promo gofood yang pakai gopay sebenerny ada juga yang makai tunaigopay di shopeefood juga ada promo,makai promo gofood pakai gopay sebenerny makai tunaigopay shopeefood promo,"['maka', 'promo', 'gofood', 'pakai', 'gopay', 'sebenerny', 'maka', 'tunaigopay', 'shopeefood', 'promo']",1,positif
3262,"Bikin hari Senin kamu dan keluarga atau teman-teman kamu lebih bersemangat dengan Berry Split, yum!

Order via @shopeefood_id dan dapatkan DISKON 60% dengan min. pembelian 30.000 dan potongan hingga 20.000. #ChezMoiPastry https://t.co/t7BOL3KZ0F","bikin hari senin kamu dan keluarga atau teman-teman kamu lebih bersemangat dengan berry split, yum!

order via @shopeefood_id dan dapatkan diskon 60% dengan min. pembelian 30.000 dan potongan hingga 20.000. #chezmoipastry https://t.co/t7bol3kz0f",bikin hari senin kamu dan keluarga atau temanteman kamu lebih bersemangat dengan berry split yum order via id dan dapatkan diskon dengan min pembelian dan potongan hingga,bikin hari senin kamu dan keluarga atau temanteman kamu lebih bersemangat dengan berry split yum order via id dan dapatkan potongan harga dengan minimal pembelian dan potongan hingga,senin keluarga temanteman bersemangat berry split yum order via id dapatkan potongan harga minimal pembelian potongan,"['senin', 'keluarga', 'temanteman', 'semangat', 'berry', 'split', 'yum', 'order', 'via', 'id', 'dapat', 'potong', 'harga', 'minimal', 'beli', 'potong']",1,positif
3263,"@Alfiatins99 @FOODFESS2 Shopeefood jabotabek sih yang gelo. Hampir semua resto diskon 18rb, ada juga yang 25rb 🥺","@alfiatins99 @foodfess2 shopeefood jabotabek sih yang gelo. hampir semua resto diskon 18rb, ada juga yang 25rb 🥺",shopeefood jabotabek sih yang gelo hampir semua resto diskon rb ada juga yang rb,shopeefood jabotabek sih yang gelo hampir semua resto potongan harga rb ada juga yang rb,shopeefood jabotabek gelo resto potongan harga rb rb,"['shopeefood', 'jabotabek', 'gelo', 'resto', 'potong', 'harga', 'rb', 'rb']",0,negatif
3264,Makan Gratis Bareng Teman di ShopeeFood https://t.co/Y9K1WpS1oX https://t.co/iRVCCYEgwO,makan gratis bareng teman di shopeefood https://t.co/y9k1wps1ox https://t.co/irvccyegwo,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3265,"@tetehseulgi_ @bbykth7_ Aku mau saldo shopeepay kaa, karna biasanya cari makan lewat shopeefood https://t.co/VQ9scIfXCR","@tetehseulgi_ @bbykth7_ aku mau saldo shopeepay kaa, karna biasanya cari makan lewat shopeefood https://t.co/vq9scifxcr",aku mau saldo shopeepay kaa karna biasanya cari makan lewat shopeefood,saya mau saldo shopeepay kaa karena biasanya cari makan lewat shopeefood,saldo shopeepay kaa cari makan shopeefood,"['saldo', 'shopeepay', 'kaa', 'cari', 'makan', 'shopeefood']",2,netral
3266,Makan Gratis Bareng Teman di ShopeeFood https://t.co/nFtiMUPn5X https://t.co/foSAZttH3B,makan gratis bareng teman di shopeefood https://t.co/nftimupn5x https://t.co/fosaztth3b,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3267,Makan Gratis Bareng Teman di ShopeeFood https://t.co/o3R6BMRDiR,makan gratis bareng teman di shopeefood https://t.co/o3r6bmrdir,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3268,Makan Gratis Bareng Teman di ShopeeFood https://t.co/YUeK526tph https://t.co/mAYK5x8NqR,makan gratis bareng teman di shopeefood https://t.co/yuek526tph https://t.co/mayk5x8nqr,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3269,Makan Gratis Bareng Teman di ShopeeFood https://t.co/vNXnsQyjWC https://t.co/jA63OhFH9w,makan gratis bareng teman di shopeefood https://t.co/vnxnsqyjwc https://t.co/ja63ohfh9w,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3270,"@NayangNu pagiiii, belum kak. tapi di sini gaada shopeefood hihi","@nayangnu pagiiii, belum kak. tapi di sini gaada shopeefood hihi",pagiiii belum kak tapi di sini gaada shopeefood hihi,pagiiii belum kak tapi di sini tidak ada shopeefood hihi,pagiiii kak shopeefood hihi,"['pagiiii', 'kak', 'shopeefood', 'hihi']",2,netral
3271,"Pagi ini sudah sarapan?
Satu orang dr kalian, sini aku kirim shopeefood...
Fast❤","pagi ini sudah sarapan?
satu orang dr kalian, sini aku kirim shopeefood...
fast❤",pagi ini sudah sarapan satu orang dr kalian sini aku kirim shopeefood fast,pagi ini sudah sarapan satu orang dari kalian sini saya kirim shopeefood fast,pagi sarapan orang kirim shopeefood fast,"['pagi', 'sarap', 'orang', 'kirim', 'shopeefood', 'fast']",1,positif
3272,Makan Gratis Bareng Teman di ShopeeFood https://t.co/oHl1pYICZe https://t.co/plx3ap6X0g,makan gratis bareng teman di shopeefood https://t.co/ohl1pyicze https://t.co/plx3ap6x0g,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3273,Makan Gratis Bareng Teman di ShopeeFood https://t.co/XCbpzdnEgM,makan gratis bareng teman di shopeefood https://t.co/xcbpzdnegm,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3274,bukak shopeefood tapi semua kedai non-halal je yang dah bukak... 😭 awal betul dorang bangun...,bukak shopeefood tapi semua kedai non-halal je yang dah bukak... 😭 awal betul dorang bangun...,bukak shopeefood tapi semua kedai nonhalal je yang dah bukak awal betul dorang bangun,bukak shopeefood tapi semua kedai nonhalal je yang sudah bukak awal betul dorang bangun,bukak shopeefood kedai nonhalal je bukak dorang bangun,"['bukak', 'shopeefood', 'kedai', 'nonhalal', 'je', 'bukak', 'dorang', 'bangun']",2,netral
3275,Makan Gratis Bareng Teman di ShopeeFood https://t.co/eNQYNCiHev https://t.co/ja0fJBKwrH,makan gratis bareng teman di shopeefood https://t.co/enqyncihev https://t.co/ja0fjbkwrh,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3276,Makan Gratis Bareng Teman di ShopeeFood https://t.co/usaosNsnVu https://t.co/b0rLCaq0ES,makan gratis bareng teman di shopeefood https://t.co/usaosnsnvu https://t.co/b0rlcaq0es,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3277,@yournangel Bismillah mau saldo spay buat nambah nambah beli shopeefood,@yournangel bismillah mau saldo spay buat nambah nambah beli shopeefood,bismillah mau saldo spay buat nambah nambah beli shopeefood,bismillah mau saldo spay buat nambah nambah beli shopeefood,bismillah saldo spay nambah nambah beli shopeefood,"['bismillah', 'saldo', 'spay', 'nambah', 'nambah', 'beli', 'shopeefood']",1,positif
3278,Makan Gratis Bareng Teman di ShopeeFood https://t.co/ECw4umX7TN https://t.co/t91VgzMEON,makan gratis bareng teman di shopeefood https://t.co/ecw4umx7tn https://t.co/t91vgzmeon,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3279,Makan Gratis Bareng Teman di ShopeeFood https://t.co/12XRfJkyM0,makan gratis bareng teman di shopeefood https://t.co/12xrfjkym0,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3280,Makan Gratis Bareng Teman di ShopeeFood https://t.co/UiSK6fCePm,makan gratis bareng teman di shopeefood https://t.co/uisk6fcepm,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3281,Makan Gratis Bareng Teman di ShopeeFood https://t.co/gsAPsPI6Iy https://t.co/v7nt2lcTd7,makan gratis bareng teman di shopeefood https://t.co/gsapspi6iy https://t.co/v7nt2lctd7,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3282,Makan Gratis Bareng Teman di ShopeeFood https://t.co/q74J6anZnk https://t.co/PdkfjoSwLF,makan gratis bareng teman di shopeefood https://t.co/q74j6anznk https://t.co/pdkfjoswlf,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3283,Makan Gratis Bareng Teman di ShopeeFood https://t.co/IwtbQP6NYo https://t.co/n5iGTB3sdi,makan gratis bareng teman di shopeefood https://t.co/iwtbqp6nyo https://t.co/n5igtb3sdi,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3284,Makan Gratis Bareng Teman di ShopeeFood https://t.co/3nOmYk9I6M https://t.co/RCfjNRgM4K,makan gratis bareng teman di shopeefood https://t.co/3nomyk9i6m https://t.co/rcfjnrgm4k,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3285,Makan Gratis Bareng Teman di ShopeeFood https://t.co/wkkOX3aepW https://t.co/bycgRNIcGK,makan gratis bareng teman di shopeefood https://t.co/wkkox3aepw https://t.co/bycgrnicgk,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3286,Makan Gratis Bareng Teman di ShopeeFood https://t.co/9F890ra1tV https://t.co/nr6efdgHJY,makan gratis bareng teman di shopeefood https://t.co/9f890ra1tv https://t.co/nr6efdghjy,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3287,"Jam 3 lewat udh bangun, krn tidur jam 10an. Bangun2 laper, bolak balik buka shopeefood. Tpi gk mesen, stlh laper tak tertahankan. Ttp blm makan jg, ritual pagi minum jamu sayang bgt dilewatin. Lbh efektif minum jamuny, dlm keadaan perut kosong. Se strict itu buat diri sendiri","jam 3 lewat udh bangun, krn tidur jam 10an. bangun2 laper, bolak balik buka shopeefood. tpi gk mesen, stlh laper tak tertahankan. ttp blm makan jg, ritual pagi minum jamu sayang bgt dilewatin. lbh efektif minum jamuny, dlm keadaan perut kosong. se strict itu buat diri sendiri",jam lewat udh bangun krn tidur jam an bangun laper bolak balik buka shopeefood tpi gk mesen stlh laper tak tertahankan ttp blm makan jg ritual pagi minum jamu sayang bgt dilewatin lbh efektif minum jamuny dlm keadaan perut kosong se strict itu buat diri sendiri,jam lewat sudah bangun karena  tidur jam an bangun laper bolak balik buka shopeefood tapi tidak  pesan setelah laper tidak tertahankan tetap belum makan juga ritual pagi minum jamu sayang begitu dilewatin lebih efektif minum jamuny dalam keadaan perut kosong se strict itu buat diri sendiri,jam bangun tidur jam bangun laper bolak buka shopeefood pesan laper tertahankan makan ritual pagi minum jamu sayang dilewatin efektif minum jamuny perut kosong strict,"['jam', 'bangun', 'tidur', 'jam', 'bangun', 'laper', 'bolak', 'buka', 'shopeefood', 'pesan', 'laper', 'tahan', 'makan', 'ritual', 'pagi', 'minum', 'jamu', 'sayang', 'dilewatin', 'efektif', 'minum', 'jamuny', 'perut', 'kosong', 'strict']",1,positif
3288,"@bittercaffeines WOI HARUS BANGET COBAIN DI GRABFOOD ATAU DI SHOPEEFOOD ""AYAM GEPREK MBA SIN"" NAGIH BANGET ANJRIT MURA LAGI BANYAK LAGI 💆🏻‍♀️🥺☃️💗","@bittercaffeines woi harus banget cobain di grabfood atau di shopeefood ""ayam geprek mba sin"" nagih banget anjrit mura lagi banyak lagi 💆🏻‍♀️🥺☃️💗",woi harus banget cobain di grabfood atau di shopeefood ayam geprek mba sin nagih banget anjrit mura lagi banyak lagi,woi harus banget cobain di grabfood atau di shopeefood ayam geprek mba sin nagih banget anjrit mura lagi banyak lagi,woi banget cobain grabfood shopeefood ayam geprek mba sin nagih banget anjrit mura,"['woi', 'banget', 'cobain', 'grabfood', 'shopeefood', 'ayam', 'geprek', 'mba', 'sin', 'nagih', 'banget', 'anjrit', 'mura']",1,positif
3289,"Pengguna setia shopeepay dan shopeefood tp sampe skrg bingung hukum akadnya 🥲 merasa gagal bgt cuma bisa bedain riba kalau dia itu bunga bank, bunga utang, dan selisih kurs mata uang 🥲 https://t.co/PUyVkNQ2Ds","pengguna setia shopeepay dan shopeefood tp sampe skrg bingung hukum akadnya 🥲 merasa gagal bgt cuma bisa bedain riba kalau dia itu bunga bank, bunga utang, dan selisih kurs mata uang 🥲 https://t.co/puyvknq2ds",pengguna setia shopeepay dan shopeefood tp sampe skrg bingung hukum akadnya merasa gagal bgt cuma bisa bedain riba kalau dia itu bunga bank bunga utang dan selisih kurs mata uang,pengguna setia shopeepay dan shopeefood tapi sampai sekarang bingung hukum akadnya merasa gagal begitu hanya bisa bedakan riba kalau dia itu bunga bank bunga hutang dan selisih kurs mata uang,pengguna setia shopeepay shopeefood bingung hukum akadnya gagal bedakan riba bunga bank bunga hutang selisih kurs mata uang,"['guna', 'setia', 'shopeepay', 'shopeefood', 'bingung', 'hukum', 'akad', 'gagal', 'beda', 'riba', 'bunga', 'bank', 'bunga', 'hutang', 'selisih', 'kurs', 'mata', 'uang']",0,negatif
3290,Makan Gratis Bareng Teman di ShopeeFood https://t.co/RokpAPEMy6,makan gratis bareng teman di shopeefood https://t.co/rokpapemy6,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3291,Shopeefood udah pada tutup wkwkwk,shopeefood udah pada tutup wkwkwk,shopeefood udah pada tutup wkwkwk,shopeefood sudah pada tutup wkwkwk,shopeefood tutup wkwkwk,"['shopeefood', 'tutup', 'wkwkwk']",1,positif
3292,Makan Gratis Bareng Teman di ShopeeFood https://t.co/bPSfadExvW https://t.co/Q6p0DrLIxw,makan gratis bareng teman di shopeefood https://t.co/bpsfadexvw https://t.co/q6p0drlixw,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3293,Makan Gratis Bareng Teman di ShopeeFood https://t.co/bPSfadExvW https://t.co/CffEZGkGF0,makan gratis bareng teman di shopeefood https://t.co/bpsfadexvw https://t.co/cffezgkgf0,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3294,@RacunBelanja Makan Gratis Bareng Teman di ShopeeFood https://t.co/ceEhUSZaJJ,@racunbelanja makan gratis bareng teman di shopeefood https://t.co/ceehuszajj,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3295,Kebiasaanku CO shopeefood tengah malam😩,kebiasaanku co shopeefood tengah malam😩,kebiasaanku co shopeefood tengah malam,kebiasaanku co shopeefood tengah malam,kebiasaanku co shopeefood malam,"['biasa', 'co', 'shopeefood', 'malam']",1,positif
3296,bru tau trnyta d mdo so ad shopeefood,bru tau trnyta d mdo so ad shopeefood,bru tau trnyta d mdo so ad shopeefood,bru tahu trnyta di mdo so ada shopeefood,bru trnyta mdo shopeefood,"['bru', 'trnyta', 'mdo', 'shopeefood']",2,netral
3297,Makan Gratis Bareng Teman di ShopeeFood https://t.co/7jsrlfuVHN https://t.co/PNfrH6ypiD,makan gratis bareng teman di shopeefood https://t.co/7jsrlfuvhn https://t.co/pnfrh6ypid,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3298,Makan Gratis Bareng Teman di ShopeeFood https://t.co/cZPoew3wAe https://t.co/13YMT1Juq4,makan gratis bareng teman di shopeefood https://t.co/czpoew3wae https://t.co/13ymt1juq4,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3299,Makan Gratis Bareng Teman di ShopeeFood https://t.co/rWo5gR8cQn https://t.co/q5SsYU70kd,makan gratis bareng teman di shopeefood https://t.co/rwo5gr8cqn https://t.co/q5ssyu70kd,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3300,"Gapapa kali ya pesen shopeefood jam segini…. Kayanya gue hari ini makan cuma dikit kok🥲
Gabisa tidur bangett laperrrr","gapapa kali ya pesen shopeefood jam segini…. kayanya gue hari ini makan cuma dikit kok🥲
gabisa tidur bangett laperrrr",gapapa kali ya pesen shopeefood jam segini kayanya gue hari ini makan cuma dikit kok gabisa tidur bangett laperrrr,tidak apa kali ya pesan shopeefood jam segini sepertinya saya hari ini makan hanya dikit kok tidak bisa tidur banget laperrrr,kali pesan shopeefood jam segini makan dikit tidur banget laperrrr,"['kali', 'pesan', 'shopeefood', 'jam', 'gin', 'makan', 'dikit', 'tidur', 'banget', 'laperrrr']",1,positif
3301,Makan Gratis Bareng Teman di ShopeeFood https://t.co/R8J11itx6q https://t.co/fuE9d2JQTd,makan gratis bareng teman di shopeefood https://t.co/r8j11itx6q https://t.co/fue9d2jqtd,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3302,Makan Gratis Bareng Teman di ShopeeFood https://t.co/ctfVUZHYrh,makan gratis bareng teman di shopeefood https://t.co/ctfvuzhyrh,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3303,Makan Gratis Bareng Teman di ShopeeFood https://t.co/LJ2jsenTRL https://t.co/D1w6NndUXW,makan gratis bareng teman di shopeefood https://t.co/lj2jsentrl https://t.co/d1w6nnduxw,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3304,"u do u sist gw merasa kaum jelata yg butuh diskonan ongkir jd y yaudah kita agree to disagree ajh g ush minta kl w jajan pke shopeefood, mksih🙏 https://t.co/XWMbXUvr3Y","u do u sist gw merasa kaum jelata yg butuh diskonan ongkir jd y yaudah kita agree to disagree ajh g ush minta kl w jajan pke shopeefood, mksih🙏 https://t.co/xwmbxuvr3y",u do u sist gw merasa kaum jelata yg butuh diskonan ongkir jd y yaudah kita agree to disagree ajh g ush minta kl w jajan pke shopeefood mksih,untuk do untuk sist saya merasa kaum jelata yang butuh diskonan ongkir jadi ya yaudah kita benar to disagree ajh tidak ush minta kalau saya jajan pakai shopeefood terima kasih,sist kaum jelata butuh diskonan ongkir yaudah disagree ajh ush jajan pakai shopeefood terima kasih,"['sist', 'kaum', 'jelata', 'butuh', 'diskon', 'ongkir', 'yaudah', 'disagree', 'ajh', 'ush', 'jajan', 'pakai', 'shopeefood', 'terima', 'kasih']",0,negatif
3305,Makan Gratis Bareng Teman di ShopeeFood https://t.co/dCjyqQDgIs https://t.co/xFglKrLrBi,makan gratis bareng teman di shopeefood https://t.co/dcjyqqdgis https://t.co/xfglkrlrbi,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3306,Banyak yg ngeluh grab/gojek/shopeefood lagi error ya? Sama anjir. Aing juga gitu kmaren,banyak yg ngeluh grab/gojek/shopeefood lagi error ya? sama anjir. aing juga gitu kmaren,banyak yg ngeluh grabgojekshopeefood lagi error ya sama anjir aing juga gitu kmaren,banyak yang ngeluh grabgojekshopeefood lagi error ya sama astaga saya juga begitu kmaren,ngeluh grabgojekshopeefood error astaga kmaren,"['ngeluh', 'grabgojekshopeefood', 'error', 'astaga', 'kmaren']",0,negatif
3307,Makan Gratis Bareng Teman di ShopeeFood https://t.co/K4H9mU3IZZ,makan gratis bareng teman di shopeefood https://t.co/k4h9mu3izz,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3308,"Pengen salim bgt sm driver gofood shopeefood grabfood, pkonya yg suka anterin makanan, tanpa kalian aku yg males ini bisa apa yakann:’)❤️","pengen salim bgt sm driver gofood shopeefood grabfood, pkonya yg suka anterin makanan, tanpa kalian aku yg males ini bisa apa yakann:’)❤️",pengen salim bgt sm driver gofood shopeefood grabfood pkonya yg suka anterin makanan tanpa kalian aku yg males ini bisa apa yakann,ingin salim begitu sama driver gofood shopeefood grabfood pkonya yang suka anterin makanan tanpa kalian saya yang malas  ini bisa apa yakann,salim driver gofood shopeefood grabfood pkonya suka anterin makanan malas yakann,"['salim', 'driver', 'gofood', 'shopeefood', 'grabfood', 'pkonya', 'suka', 'anterin', 'makan', 'malas', 'yakann']",1,positif
3309,Perkara masalah shopeefood jadi bahas kemana mana sama kinta sampe orang foto dikantor aja sampe dibela belain searching di internet,perkara masalah shopeefood jadi bahas kemana mana sama kinta sampe orang foto dikantor aja sampe dibela belain searching di internet,perkara masalah shopeefood jadi bahas kemana mana sama kinta sampe orang foto dikantor aja sampe dibela belain searching di internet,perkara masalah shopeefood jadi bahas kemana mana sama kinta sampai orang foto dikantor aja sampai dibela belain searching di internet,perkara shopeefood bahas kemana kinta orang foto dikantor dibela belain searching internet,"['perkara', 'shopeefood', 'bahas', 'mana', 'kinta', 'orang', 'foto', 'kantor', 'bela', 'bain', 'searching', 'internet']",1,positif
3310,Makan Gratis Bareng Teman di ShopeeFood https://t.co/flMuz56sh0 https://t.co/X6fSXUwjYv,makan gratis bareng teman di shopeefood https://t.co/flmuz56sh0 https://t.co/x6fsxuwjyv,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3311,"dari berhari2 lalu pgn jajan gofood/shopeefood tapi gajadi terus karena syg buang duit dan nambahin kalori. tapi pgn martabak, ayam geprek, baso aci, cake, mcd, richeese, corndog, bakso🙃","dari berhari2 lalu pgn jajan gofood/shopeefood tapi gajadi terus karena syg buang duit dan nambahin kalori. tapi pgn martabak, ayam geprek, baso aci, cake, mcd, richeese, corndog, bakso🙃",dari berhari lalu pgn jajan gofoodshopeefood tapi gajadi terus karena syg buang duit dan nambahin kalori tapi pgn martabak ayam geprek baso aci cake mcd richeese corndog bakso,dari berhari lalu ingin jajan gofoodshopeefood tapi gajadi terus karena sayang buang uang dan nambahin kalori tapi ingin martabak ayam geprek baso aci cake mcd richeese corndog bakso,berhari jajan gofoodshopeefood gajadi sayang buang uang nambahin kalori martabak ayam geprek baso aci cake mcd richeese corndog bakso,"['hari', 'jajan', 'gofoodshopeefood', 'gajadi', 'sayang', 'buang', 'uang', 'nambahin', 'kalori', 'martabak', 'ayam', 'geprek', 'baso', 'aci', 'cake', 'mcd', 'richeese', 'corndog', 'bakso']",0,negatif
3312,ppp! aku ada voucher shopeefood diskon 100% sd 25rb sama yang 100% sd 30rb minimal 30rb 5k/voc yang minat lat yaaa,ppp! aku ada voucher shopeefood diskon 100% sd 25rb sama yang 100% sd 30rb minimal 30rb 5k/voc yang minat lat yaaa,ppp aku ada voucher shopeefood diskon sd rb sama yang sd rb minimal rb kvoc yang minat lat yaaa,ppp saya ada voucher shopeefood potongan harga sd rb sama yang sd rb minimal rb kvoc yang minat lat yaaa,ppp voucher shopeefood potongan harga sd rb sd rb minimal rb kvoc minat lat yaaa,"['ppp', 'voucher', 'shopeefood', 'potong', 'harga', 'sd', 'rb', 'sd', 'rb', 'minimal', 'rb', 'kvoc', 'minat', 'lat', 'yaaa']",1,positif
3313,Makan Gratis Bareng Teman di ShopeeFood https://t.co/KUifNvf5iH https://t.co/x50jKysgCd,makan gratis bareng teman di shopeefood https://t.co/kuifnvf5ih https://t.co/x50jkysgcd,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
3314,Makan Gratis Bareng Teman di ShopeeFood https://t.co/aqUuThsSRC https://t.co/PubYRggZ0Z,makan gratis bareng teman di shopeefood https://t.co/aquuthssrc https://t.co/pubyrggz0z,makan gratis bareng teman di shopeefood,makan gratis bersama teman di shopeefood,makan gratis teman shopeefood,"['makan', 'gratis', 'teman', 'shopeefood']",1,positif
